"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"EIA",2018,88,0.012,2018-09-25 13:15:00,2018-09-25 13:40:00,1.41666666666667
"EIA",2018,94,0.011,2018-10-01 18:10:00,2018-10-01 19:40:00,2.5
"EIA",2018,98,0.025,2018-10-05 18:20:00,2018-10-06 02:45:00,9.41666666666667
"EIA",2018,100,0.014,2018-10-07 18:40:00,2018-10-07 20:40:00,3
"EIA",2018,102,0.021,2018-10-08 04:00:00,2018-10-08 05:55:00,2.91666666666667
"EIA",2018,108,0.012,2018-10-10 04:15:00,2018-10-10 05:20:00,2.08333333333333
"HOE",2016,2,0.00864,2016-09-09 04:00:00,2016-09-09 06:00:00,3
"HOE",2016,4,0.01726,2016-09-09 08:00:00,2016-09-09 10:00:00,3
"HOE",2016,8,0.06399,2016-09-15 07:00:00,2016-09-15 23:00:00,17
"HOE",2016,12,0.011,2016-09-25 03:05:00,2016-09-25 04:45:00,2.66666666666667
"HOE",2016,14,0.045,2016-10-04 18:25:00,2016-10-05 01:10:00,7.75
"HOE",2016,16,0.013,2016-10-06 18:45:00,2016-10-06 21:45:00,4
"HOE",2016,18,0.029,2016-10-25 18:15:00,2016-10-26 00:55:00,7.66666666666667
"HOE",2017,4,0.009,2017-04-18 06:35:00,2017-04-18 07:50:00,2.25
"HOE",2017,6,0.008,2017-04-19 12:15:00,2017-04-19 13:35:00,2.33333333333333
"HOE",2017,10,0.021,2017-04-30 19:55:00,2017-04-30 21:45:00,2.83333333333333
"HOE",2017,14,0.007,2017-05-16 08:35:00,2017-05-16 08:55:00,1.33333333333333
"HOE",2017,16,0.012,2017-05-16 22:50:00,2017-05-17 05:55:00,8.08333333333333
"HOE",2017,18,0.011,2017-05-17 14:30:00,2017-05-17 17:50:00,4.33333333333333
"HOE",2017,20,0.023,2017-05-20 01:10:00,2017-05-20 12:45:00,12.5833333333333
"HOE",2017,28,0.01,2017-06-12 11:40:00,2017-06-12 14:15:00,3.58333333333333
"HOE",2017,34,0.008,2017-06-18 18:40:00,2017-06-18 19:20:00,1.66666666666667
"HOE",2017,36,0.051,2017-06-28 01:10:00,2017-06-28 06:45:00,6.58333333333333
"HOE",2017,44,0.007,2017-08-01 17:40:00,2017-08-01 18:00:00,1.33333333333333
"HOE",2017,50,0.05892,2017-08-21 12:00:00,2017-08-21 17:00:00,6
"HOE",2018,8,0.037,2018-06-17 22:50:00,2018-06-18 04:45:00,6.91666666666667
"HOE",2018,12,0.08,2018-06-20 15:45:00,2018-06-21 07:40:00,16.9166666666667
"HOE",2018,14,0.049,2018-06-24 16:40:00,2018-06-25 00:20:00,8.66666666666667
"HOE",2018,16,0.015,2018-06-25 22:15:00,2018-06-25 22:55:00,1.66666666666667
"HOE",2018,18,0.046,2018-07-01 00:45:00,2018-07-01 07:40:00,7.91666666666667
"HOE",2018,20,0.019,2018-07-04 11:05:00,2018-07-04 11:45:00,1.66666666666667
"HOE",2018,24,0.025,2018-07-12 20:50:00,2018-07-13 11:45:00,15.9166666666667
"HOE",2018,34,0.0726,2018-09-03 06:00:00,2018-09-05 03:00:00,46
"HOE",2018,36,0.06932,2018-09-17 14:00:00,2018-09-19 23:00:00,58
"HOE",2019,1,0.02,2019-04-26 14:45:00,2019-04-26 14:50:00,1.08333333333333
"HOE",2019,3,0.19962,2019-04-27 06:00:00,2019-05-30 08:00:00,795
"HOE",2019,5,0.02718,2019-06-05 03:00:00,2019-06-05 04:00:00,2
"HOE",2019,7,0.00888,2019-06-11 12:00:00,2019-06-12 07:00:00,20
"HOE",2019,9,0.06271,2019-06-15 19:00:00,2019-06-27 18:00:00,288
"HOE",2019,11,0.01144,2019-07-02 02:00:00,2019-07-05 15:00:00,86
"HOE",2019,13,0.00914,2019-07-09 15:00:00,2019-07-09 17:00:00,3
"HOE",2019,15,0.07848,2019-07-13 13:00:00,2019-07-17 16:00:00,100
