"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2016,"EIA","strips",38,273.577,1456,2016-07-19 14:05:00,2016-07-20 14:20:00
2016,"EIA","strips",40,1241.188,1506,2016-07-22 00:30:00,2016-07-23 01:35:00
2016,"EIA","strips",42,3.151,71,2016-07-29 14:00:00,2016-07-29 15:10:00
2016,"EIA","strips",44,194.991,236,2016-08-04 20:30:00,2016-08-05 00:25:00
2016,"EIA","strips",46,101778.842,1656,2016-08-11 20:10:00,2016-08-12 23:45:00
2016,"EIA","strips",48,13.569,1416,2016-08-20 00:10:00,2016-08-20 23:45:00
2016,"EIA","strips",50,5.765,51,2016-08-24 03:10:00,2016-08-24 04:00:00
2016,"EIA","strips",52,0.108,6,2016-08-27 02:40:00,2016-08-27 02:45:00
2016,"EIA","strips",54,31307.731,1476,2016-09-08 01:25:00,2016-09-09 02:00:00
2016,"EIA","strips",56,28.964,146,2016-09-09 18:45:00,2016-09-09 21:10:00
2016,"EIA","strips",58,9250.862,1556,2016-09-15 23:35:00,2016-09-17 01:30:00
2016,"EIA","strips",60,77675.695,1576,2016-09-23 03:00:00,2016-09-24 05:15:00
2016,"EIA","strips",62,478.87,1436,2016-10-06 20:05:00,2016-10-07 20:00:00
2016,"EIA","strips",64,6819.468,1621,2016-10-26 04:10:00,2016-10-27 07:10:00
2016,"EIA","strips",66,5712.529,1806,2016-11-02 00:20:00,2016-11-03 06:25:00
2017,"EIA","strips",2,0.092,1,2017-10-04 06:40:00,2017-10-04 06:40:00
2018,"EIA","strips",2,257.183,1506,2018-05-12 04:25:00,2018-05-13 05:30:00
2018,"EIA","strips",4,264.609,1536,2018-05-14 05:00:00,2018-05-15 06:35:00
2018,"EIA","strips",6,825.463,2926,2018-05-20 05:40:00,2018-05-22 06:25:00
2018,"EIA","strips",8,941.541,1456,2018-05-26 01:30:00,2018-05-27 01:45:00
2018,"EIA","strips",10,4.211,156,2018-05-30 10:45:00,2018-05-30 13:20:00
2018,"EIA","strips",12,29124.341,2361,2018-06-09 08:40:00,2018-06-11 00:00:00
2018,"EIA","strips",14,366.979,1506,2018-06-14 11:25:00,2018-06-15 12:30:00
2018,"EIA","strips",16,7572.156,2681,2018-06-18 22:55:00,2018-06-20 19:35:00
2018,"EIA","strips",18,90949.729,641,2018-06-21 07:50:00,2018-06-21 18:30:00
2018,"EIA","strips",20,2.09,46,2018-06-22 13:50:00,2018-06-22 14:35:00
2018,"EIA","strips",22,807.32,2216,2018-06-26 00:00:00,2018-06-27 12:55:00
2018,"EIA","strips",24,180.836,901,2018-07-01 03:25:00,2018-07-01 18:25:00
2018,"EIA","strips",26,546.209,2021,2018-08-07 09:15:00,2018-08-08 18:55:00
2018,"EIA","strips",28,1038.31,3886,2018-08-15 11:05:00,2018-08-18 03:50:00
2018,"EIA","strips",30,1296.116,2401,2018-08-20 05:20:00,2018-08-21 21:20:00
2018,"EIA","strips",32,1686.685,2501,2018-08-24 05:30:00,2018-08-25 23:10:00
2018,"EIA","strips",34,853.347,2661,2018-08-27 06:25:00,2018-08-29 02:45:00
2018,"EIA","strips",36,820.629,1411,2018-09-01 03:10:00,2018-09-02 02:40:00
2018,"EIA","strips",38,5623.476,1891,2018-09-03 02:45:00,2018-09-04 10:15:00
2018,"EIA","strips",40,4201.292,1746,2018-09-05 07:20:00,2018-09-06 12:25:00
2018,"EIA","strips",42,15563.181,1481,2018-09-19 11:40:00,2018-09-20 12:20:00
2018,"EIA","strips",44,8.627,196,2018-09-25 13:25:00,2018-09-25 16:40:00
2018,"EIA","strips",46,148.573,1696,2018-10-01 15:20:00,2018-10-02 19:35:00
